text,processed_text,target
haha i was just talking about that to my colleague i have dms only are actual messages and not spam,haha i was just talking about that to my colleague i have dms only are actual messages and not spam,neutral
hope your day was good,hope your day was good,positive
yes dear i m opff bblr,yes dear i m opff bblr,neutral
would love to help,would love to help,positive
like your new pix,like your new pix,positive
musical theatre actor i wish,musical theatre actor i wish,positive
were great,were great,positive
dinner smells good,dinner smells good,positive
going to revise for physics,going to revise for physics,neutral
happy,happy,positive
hmmm i neeeddd foooddd nd is looking forward playing with the puppy day nd seeing lewishhh,hmmm i neeeddd foooddd nd is looking forward playing with the puppy day nd seeing lewishhh,neutral
you are beautiful,you are beautiful,positive
followfriday is easy enough for those who are annoyed by it i recommend relatively few people anyway,followfriday is easy enough for those who are annoyed by it i recommend relatively few people anyway,neutral
congratulations,congratulations,positive
good,good,positive
sad,sad,negative
miss high school lunches a lot,miss high school lunches a lot,negative
going to bed how s ever reading this,going to bed how s ever reading this,neutral
never smh i don t own flats lol,never smh i don t own flats lol,neutral
working but it s fridaaaayyyyy,working but it s fridaaaayyyyy,neutral
all this talk of buttershots has me wanting some maybe i ll have a small bit over ice i haven t had any since faire,all this talk of buttershots has me wanting some maybe i ll have a small bit over ice i haven t had any since faire,neutral
don t hurt me,don t hurt me,negative
got back from helping my sis with stuff for my niece s st birthday i saw a lite car charger in toy kingdom sm for only p,got back from helping my sis with stuff for my niece s st birthday i saw a lite car charger in toy kingdom sm for only p,neutral
that would be most ideal however now i do not see myself leaving before going to have to take a rain check,that would be most ideal however now i do not see myself leaving before going to have to take a rain check,neutral
i jus planted a garden in my backyard,i jus planted a garden in my backyard,neutral
really guilty,really guilty,negative
so i can just watch that again x,so i can just watch that again x,neutral
g happier that ll make you feel better,g happier that ll make you feel better,positive
i will try but i don t care what my mum says,i will try but i don t care what my mum says,neutral
i just noticed that too,i just noticed that too,neutral
i ve just realised followers yay,i ve just realised followers yay,neutral
bumped my domain out of the spot,bumped my domain out of the spot,negative
is sad wh,is sad wh,negative
go get them,go get them,neutral
deserve an award,deserve an award,positive
the ending is te funniest you ll see you know paranoif is always stuck in my head love it,the ending is te funniest you ll see you know paranoif is always stuck in my head love it,positive
i want pho i ve never had it before,i want pho i ve never had it before,neutral
my brain has become a converter ed i ve been converting into lm for the past yrs every mins of every single day,my brain has become a converter ed i ve been converting into lm for the past yrs every mins of every single day,neutral
n thanks,n thanks,positive
horrors,horrors,negative
little sad to,little sad to,negative
moro is the end of my stay to bad she is in ny then off ft laud a weddin florida is fun but i miss home and spike car lol,moro is the end of my stay to bad she is in ny then off ft laud a weddin florida is fun but i miss home and spike car lol,neutral
back in spain,back in spain,neutral
just it s quiet a bit of it to be honest xd,just it s quiet a bit of it to be honest xd,neutral
hopefully i am getting my new windows tomorrow still using my mums lap birthday tomorrow eve and facebook does not work somehow,hopefully i am getting my new windows tomorrow still using my mums lap birthday tomorrow eve and facebook does not work somehow,neutral
my glass is empty will someone be a dear and fetch me another,my glass is empty will someone be a dear and fetch me another,neutral
am time for bed nite all,am time for bed nite all,neutral
missing him like,missing him like,negative
awesome to meet you all lol,awesome to meet you all lol,positive
hi what are you a consultant for,hi what are you a consultant for,neutral
looking forward,looking forward,positive
missing the gf soooooooooooooooooooooooooooooooooooo much,missing the gf soooooooooooooooooooooooooooooooooooo much,negative
wow that is so cool,wow that is so cool,positive
where are ya headin to for your family vaca i hope the paparazzi leave you alone,where are ya headin to for your family vaca i hope the paparazzi leave you alone,neutral
